Speaker		Gender	NumLines	Play	TopVillain	Fools
Bottom		Male	255	A Midsummer Night's Dream		fool
Pucelle		Female	254	Henry VI Part 1		
Apemantus		Male	249	Timon of Athens		
Brutus		Male	246	Coriolanus		
Dromio Of Syracuse		Male	244	The Comedy of Errors		
Emilia		Female	243	Othello		
Cade		Male	238	Henry VI Part 2		
Mistress Quickly		Female	236	The Merry Wives of Windsor		
Armado		Male	235	Love's Labour's Lost		
Theseus		Male	235	A Midsummer Night's Dream		
Helena		Female	230	A Midsummer Night's Dream		
Fool		Male	227	King Lear		fool
Boyet		Male	227	Love's Labour's Lost		
Oberon		Male	225	A Midsummer Night's Dream		
Canterbury		Male	224	Henry V		
Chorus		Male	223	Henry V		
Katherina		Female	221	The Taming of the Shrew		
Jaques		Male	221	As You Like It		
Orsino		Male	220	Twelfth Night		
Queen Margaret		Female	218	Richard III		
Pisanio		Male	217	Cymbeline		
Evans		Male	217	The Merry Wives of Windsor		
Countess		Female	214	King Edward III		
Hector		Male	213	Troilus and Cressida		
Antipholus Of Ephesus		Male	212	The Comedy of Errors		
Martius		Male	212	Coriolanus		
Norfolk		Male	211	Henry VIII		
Malcolm		Male	211	Macbeth		
Hermione		Female	211	The Winter's Tale		
Laertes		Male	210	Hamlet		
Saturninus		Male	210	Titus Andronicus		
King Philip		Male	209	King John		
Hortensio		Male	208	The Taming of the Shrew		
Puck		Male	206	A Midsummer Night's Dream		fool
Flavius		Male	205	Timon of Athens		
Florizel		Male	205	The Winter's Tale		
Hubert		Male	204	King John		
Launce		Male	201	The Two Gentlemen of Verona		fool
Duke		Male	200	The Two Gentlemen of Verona		
Gonerill		Female	199	King Lear		
Speed		Male	196	The Two Gentlemen of Verona		fool
Ariel		Male	196	The Tempest		
Shallow		Male	195	Henry IV Part 2		
Agamemnon		Male	195	Troilus and Cressida		
Clown		Male	195	All's Well That Ends Well		fool
Mistress Ford		Female	192	The Merry Wives of Windsor		
John Of Gaunt		Male	192	Richard II		
Buckingham		Male	192	Henry VIII		
Achilles		Male	191	Troilus and Cressida		
Costard		Male	190	Love's Labour's Lost		
Regan		Female	190	King Lear	yes	
Marina		Female	190	Pericles		
Worcester		Male	189	Henry IV Part 1		
Escalus		Male	189	Measure for Measure		
Lucentio		Male	189	The Taming of the Shrew		
Antonio		Male	188	The Merchant of Venice		
Richard		Male	184	Henry VI Part 1		
Gloucester		Male	183	Henry VI Part 1		
Clown		Male	183	The Winter's Tale		
Macduff		Male	180	Macbeth		
Lorenzo		Male	180	The Merchant of Venice		
Lysander		Male	179	A Midsummer Night's Dream		
King		Male	179	Henry VI Part 1		
Lucius		Male	179	Titus Andronicus		
Caliban		Male	178	The Tempest		
Gratiano		Male	177	The Merchant of Venice		
Dogberry		Male	176	Much Ado About Nothing		
Suffolk		Male	174	Henry VI Part 1		
Baptista		Male	174	The Taming of the Shrew		
First Lord		Male	173	All's Well That Ends Well		
York		Male	173	Henry VI Part 3		
Ophelia		Female	173	Hamlet		
Hostess		Female	171	Henry IV Part 2		
Grumio		Male	168	The Taming of the Shrew		fool
Queen		Female	168	Cymbeline		
Stephano		Male	168	The Tempest		
Gremio		Male	167	The Taming of the Shrew		
Provost		Male	166	Measure for Measure		
Rosaline		Female	165	Love's Labour's Lost		
Holofernes		Male	164	Love's Labour's Lost		
Hermia		Female	164	A Midsummer Night's Dream		
Guiderius		Male	164	Cymbeline		
Cardinal Pandulph		Male	164	King John		
Launcelot		Male	163	The Merchant of Venice		
Clarence		Male	163	Richard III		
Sir Andrew		Male	162	Twelfth Night		
Pistol		Male	162	Henry V		
Gonzalo		Male	161	The Tempest		
Benvolio		Male	161	Romeo and Juliet		
Lord Chief Justice		Male	160	Henry IV Part 2		
Salisbury		Male	159	King John		
Albany		Male	159	King Lear		
Alcibiades		Male	159	Timon of Athens		
Silvia		Female	158	The Two Gentlemen of Verona		
Nestor		Male	157	Troilus and Cressida		
Queen		Female	157	Hamlet		
Anne		Female	157	Richard III		
Simonides		Male	157	Pericles		
Pompey		Male	156	Measure for Measure		fool
Dromio Of Ephesus		Male	154	The Comedy of Errors		
Mote		Male	154	Love's Labour's Lost		
Miranda		Female	153	The Tempest		
Antonio		Male	151	The Tempest		
Caesar		Male	151	Julius Caesar		
Lord Chamberlain		Male	150	Henry VIII		
Page		Male	149	The Merry Wives of Windsor		
Maria		Female	149	Twelfth Night		
Archbishop		Male	148	Henry IV Part 2		
Oliver		Male	148	As You Like It		
Lord		Male	146	The Taming of the Shrew		
Aeneas		Male	143	Troilus and Cressida		
Egeon		Male	143	The Comedy of Errors		
Slender		Male	143	The Merry Wives of Windsor		
Northumberland		Male	143	Richard II		
Titania		Female	141	A Midsummer Night's Dream		
Duchess Of York		Female	141	Richard III		
Hastings		Male	140	Richard III		
Clifford		Male	140	Henry VI Part 3		
Ferdinand		Male	139	The Tempest		
Brabantio		Male	139	Othello		
Diana		Female	138	All's Well That Ends Well		
Arviragus		Male	138	Cymbeline		
Lewis The Dauphin		Male	137	King John		
Richmond		Male	137	Richard III		
Shepherd		Male	137	The Winter's Tale		
Pompey		Male	136	Antony and Cleopatra		
Demetrius		Male	136	A Midsummer Night's Dream		
Mowbray		Male	135	Richard II		
Ross		Male	135	Macbeth		
Cranmer		Male	135	Henry VIII		
Charles		Male	135	Henry VI Part 1		
Hero		Female	132	Much Ado About Nothing		
Warwick		Male	131	Henry VI Part 2		
Casca		Male	130	Julius Caesar		
Exeter		Male	129	Henry V		
Perdita		Female	126	The Winter's Tale		
Shallow		Male	125	The Merry Wives of Windsor		
Sebastian		Male	125	The Tempest		
Sebastian		Male	124	Twelfth Night		
Pirithous		Male	124	The Two Noble Kinsmen		
Constable		Male	123	Henry V		
Borachio		Male	123	Much Ado About Nothing		
Warwick		Male	121	King Edward III		
Quince		Male	121	A Midsummer Night's Dream		
Helicanus		Male	121	Pericles		
Arthur		Male	120	King John		
Roderigo		Male	119	Othello		
Duchess		Female	119	Henry VI Part 2		
Second Lord		Male	119	All's Well That Ends Well		
Gaoler		Male	118	The Two Noble Kinsmen		
Cordelia		Female	117	King Lear		
Salerio		Male	115	The Merchant of Venice		
Dauphin		Male	115	Henry V		
Katherine		Female	115	Henry VIII		
Queen Isabel		Female	115	Richard II		
Lady Capulet		Female	115	Romeo and Juliet		
Banquo		Male	113	Macbeth		
Claudio		Male	113	Measure for Measure		
Fabian		Male	113	Twelfth Night		
Antigonus		Male	111	The Winter's Tale		
Cleon		Male	111	Pericles		
Cerimon		Male	110	Pericles		
Host		Male	110	The Merry Wives of Windsor		
Don John		Male	109	Much Ado About Nothing		
Westmorland		Male	109	Henry IV Part 2		
Charmian		Female	109	Antony and Cleopatra		
Cornwall		Male	109	King Lear	yes	
Alonso		Male	109	The Tempest		
Duke		Male	109	As You Like It		
Derby		Male	108	Richard III		
Prince John		Male	108	Henry IV Part 2		
First Gentleman		Male	107	Henry VIII		
Schoolmaster		Male	107	The Two Noble Kinsmen		
Lysimachus		Male	107	Pericles		
Antonio		Male	106	Twelfth Night		
Biondello		Male	106	The Taming of the Shrew		
Northumberland		Male	106	Henry IV Part 2		
Wooer		Male	105	The Two Noble Kinsmen		
George		Male	105	Henry VI Part 3		
Diomedes		Male	104	Troilus and Cressida		
Lucius		Male	104	Cymbeline		
Bawd		Female	104	Pericles		
Poet		Male	104	Timon of Athens		
Morocco		Male	103	The Merchant of Venice		
Cardinal		Male	103	Henry VI Part 2		
Hippolyta		Female	102	The Two Noble Kinsmen		
Trinculo		Male	102	The Tempest		fool
Rosencrantz		Male	100	Hamlet		
Paris		Male	97	Troilus and Cressida		
Audley		Male	97	King Edward III		
Caius		Male	97	The Merry Wives of Windsor		
Fenton		Male	96	The Merry Wives of Windsor		
Winchester		Male	96	Henry VI Part 1		
Luciana		Female	96	The Comedy of Errors		
First Player		Male	96	Hamlet		
Ghost		Male	95	Hamlet		
First Clown		Male	94	Hamlet		
French King		Male	94	Henry V		
Salisbury		Male	94	Henry VI Part 2		
Demetrius		Male	94	Titus Andronicus		
Suffolk		Male	93	Henry VIII		
Duchess Of York		Female	93	Richard II		
Portia		Female	92	Julius Caesar		
Salisbury		Male	92	King Edward III		
Duke		Male	91	The Comedy of Errors		
Gardiner		Male	91	Henry VIII		
First Citizen		Male	89	Coriolanus		
Dumaine		Male	89	Love's Labour's Lost		
First Senator		Male	89	Timon of Athens		
Dionyza		Female	88	Pericles		
Nerissa		Female	88	The Merchant of Venice		
Doctor		Male	88	The Two Noble Kinsmen		
Mortimer		Male	88	Henry VI Part 1		
King Henry		Male	88	Richard II		
Second Gentleman		Male	87	Henry VIII		
Lord Bardolph		Male	87	Henry IV Part 2		
Jessica		Female	86	The Merchant of Venice		
Ajax		Male	86	Troilus and Cressida		
Phebe		Female	86	As You Like It		
Charles		Male	85	King Edward III		
Aumerle		Male	85	Richard II		
Friar		Male	82	Much Ado About Nothing		
First Soldier		Male	82	All's Well That Ends Well		
Gentleman		Male	82	King Lear		
Boult		Male	82	Pericles		
Surrey		Male	81	Henry VIII		
Pistol		Male	80	Henry IV Part 2		
Thaisa		Female	80	Pericles		
Morton		Male	79	Henry IV Part 2		
Poins		Male	79	Henry IV Part 1		
Doll		Female	78	Henry IV Part 2		
Oswald		Male	78	King Lear		
Pembroke		Male	78	King John		
Lodovico		Male	77	Othello		
Warwick		Male	77	Henry IV Part 2		
Glendower		Male	77	Henry IV Part 1		
Lucy		Male	77	Henry VI Part 1		
Angelo		Male	77	The Comedy of Errors	yes	
Bedford		Male	76	Henry VI Part 1		
Silvius		Male	75	As You Like It		
Prince		Male	75	Romeo and Juliet		
Buckingham		Male	74	Henry VI Part 2		
Abbess		Female	73	The Comedy of Errors		
Cornelius		Male	73	Cymbeline		
Lady Grey		Female	73	Henry VI Part 3		
Longaville		Male	72	Love's Labour's Lost		
Warwick		Male	72	Henry VI Part 1		
Lucetta		Female	72	The Two Gentlemen of Verona		
Duke		Male	71	Othello		
Elbow		Male	71	Measure for Measure		
Corin		Male	71	As You Like It		
Williams		Male	70	Henry V		
Solanio		Male	70	The Merchant of Venice		
King		Male	70	Macbeth		
Lennox		Male	70	Macbeth		
Patroclus		Male	69	Troilus and Cressida		
Bianca		Female	69	The Taming of the Shrew		
Boy		Male	69	Henry V		
Paris		Male	69	Romeo and Juliet		
Duke Frederick		Male	68	As You Like It		
Antiochus		Male	68	Pericles		
Mariana		Female	68	Measure for Measure		
Old Lady		Female	68	Henry VIII		
Lovell		Male	68	Henry VIII		
Margaret		Female	68	Much Ado About Nothing		
Burgundy		Male	67	Henry V		
Lepidus		Male	67	Antony and Cleopatra		
Lewis		Male	67	Henry VI Part 3		
Mariner		Male	66	King Edward III		
Arragon		Male	66	The Merchant of Venice		
First Gentleman		Male	66	Cymbeline		
Vernon		Male	66	Henry IV Part 1		
Lucius		Male	66	Timon of Athens		
Painter		Male	65	Timon of Athens		
King Edward		Male	65	Richard III		
First Murderer		Male	65	Richard III		
Adam		Male	65	As You Like It		
Lieutenant		Male	65	Henry VI Part 2		
Somerset		Male	64	Henry VI Part 1		
Gower		Male	64	Henry V		
Widow		Female	64	All's Well That Ends Well		
First Queen		Female	63	The Two Noble Kinsmen		
Bishop Of Carlisle		Male	63	Richard II		
Bassianus		Male	63	Titus Andronicus		
Third Gentleman		Male	63	The Winter's Tale		
Montano		Male	62	Othello		
Menas		Male	62	Antony and Cleopatra		
Katherine		Female	61	Henry V		
Sly		Male	61	The Taming of the Shrew		
First Witch		Female	61	Macbeth		
Surveyor		Male	61	Henry VIII		
Second Murderer		Male	61	Richard III		
Marcellus		Male	61	Hamlet		
Second Senator		Male	61	Timon of Athens		
Lord		Male	60	The Winter's Tale		
Mortimer		Male	60	Henry IV Part 1		
Lartius		Male	60	Coriolanus		
Poins		Male	60	Henry IV Part 2		
Agrippa		Male	60	Antony and Cleopatra		
Lavinia		Female	59	Titus Andronicus		
Reignier		Male	59	Henry VI Part 1		
Griffith		Male	59	Henry VIII		
Exeter		Male	59	Henry VI Part 1		
Lucullus		Male	59	Timon of Athens		
Catesby		Male	58	Richard III		
Anne		Female	58	Henry VIII		
Duchess Of Gloucester		Female	58	Richard II		
Lady Percy		Female	57	Henry IV Part 1		
Third Gentleman		Male	57	Henry VIII		
Hastings		Male	57	Henry IV Part 2		
Artois		Male	57	King Edward III		
Duke		Male	57	The Merchant of Venice		
Flute		Male	57	A Midsummer Night's Dream		
Mowbray		Male	56	Henry IV Part 2		
Clifford		Male	56	Henry VI Part 2		
Antonio		Male	55	Much Ado About Nothing		
Queen Eleanor		Female	55	King John		
Thurio		Male	55	The Two Gentlemen of Verona		
Nathaniel		Male	55	Love's Labour's Lost		
Campeius		Male	53	Henry VIII		
Chiron		Male	53	Titus Andronicus		
Third Citizen		Male	53	Coriolanus		
Guildenstern		Male	53	Hamlet		
Third Servingman		Male	52	Coriolanus		
Gardener		Male	52	Richard II		
Speaker		Male	52	The Two Noble Kinsmen		
Montjoy		Male	52	Henry V		
Pedant		Male	51	The Taming of the Shrew		
Iden		Male	51	Henry VI Part 2		
Pistol		Male	51	The Merry Wives of Windsor		
Simple		Male	49	The Merry Wives of Windsor		
Hostess		Female	49	Henry IV Part 1		
Cromwell		Male	49	Henry VIII		
Alençon		Male	49	Henry VI Part 1		
Messenger		Male	49	The Two Noble Kinsmen		
Osrick		Male	49	Hamlet		
Le Beau		Male	48	As You Like It		
Rivers		Male	48	Richard III		
Say		Male	48	Henry VI Part 2		
Vincentio		Male	48	The Taming of the Shrew		
Sands		Male	48	Henry VIII		
English Doctor		Male	48	Macbeth		
John		Male	47	Henry VI Part 1		
Octavius		Male	47	Julius Caesar		
Ursula		Female	47	Much Ado About Nothing		
Bardolph		Male	47	Henry IV Part 2		
Eros		Male	47	Antony and Cleopatra		
Dolabella		Male	47	Antony and Cleopatra		
Second Lord		Male	46	Cymbeline		
Lodowick		Male	46	King Edward III		
Katharine		Female	46	Love's Labour's Lost		
Prince		Male	46	Henry VI Part 3		
Young Clifford		Male	46	Henry VI Part 2		
Lady Percy		Female	46	Henry IV Part 2		
Speaker		Male	46	Henry VIII		
Percy		Male	46	Richard II		
Boatswain		Male	46	The Tempest		
Gadshill		Male	45	Henry IV Part 1		
Douglas		Male	45	Henry IV Part 1		
Countess		Female	45	Henry VI Part 1		
Third Messenger		Male	45	Henry VI Part 1		
Silence		Male	45	Henry IV Part 2		
First Gaoler		Male	45	Cymbeline		
Orleans		Male	45	Henry V		
Nym		Male	44	Henry V		
Young Lucius		Male	44	Titus Andronicus		
Derby		Male	44	King Edward III		
Mistress Quickly As Queen Of Fairies		Female	44	The Merry Wives of Windsor		
Decius		Male	44	Julius Caesar		
Panthino		Male	44	The Two Gentlemen of Verona		
Burgundy		Male	43	Henry VI Part 1		
Soothsayer		Male	43	Cymbeline		
Philario		Male	43	Cymbeline		
Prince Edward		Male	43	Richard III		
Amiens		Male	42	As You Like It		
First Lord		Male	42	As You Like It		
First Lord		Male	42	Cymbeline		
Hostess		Female	42	Henry V		
Messenger To Cleopatra		Male	42	Antony and Cleopatra		
Maria		Female	42	Love's Labour's Lost		
Steward		Male	42	All's Well That Ends Well		
Wife		Female	42	Macbeth		
Blanche		Female	42	King John		
First Senator		Male	42	Coriolanus		
Westmorland		Male	42	Henry IV Part 1		
Balthasar		Male	42	Much Ado About Nothing		
Chatillon		Male	41	King John		
Blunt		Male	41	Henry IV Part 1		
Egeus		Male	41	A Midsummer Night's Dream		
Iris		Female	41	The Tempest		
Montague		Male	41	Romeo and Juliet		
First Fisherman		Male	41	Pericles		
Valeria		Female	40	Coriolanus		
Charles		Male	40	As You Like It		
Scarus		Male	40	Antony and Cleopatra		
Sicilius		Male	40	Cymbeline		
Rumour		Male	40	Henry IV Part 2		
Melun		Male	39	King John		
Bushy		Male	39	Richard II		
Hecat		Female	39	Macbeth		
Lorraine		Male	39	King Edward III		
Second Queen		Female	39	The Two Noble Kinsmen		
York		Male	39	Richard III		
Gobbo		Male	38	The Merchant of Venice		fool
Host		Male	38	The Two Gentlemen of Verona		
Messala		Male	38	Julius Caesar		
Man		Male	38	Henry VIII		
Messenger		Male	38	Coriolanus		
Scroop		Male	37	Richard II		
Cassandra		Female	37	Troilus and Cressida		
Third Queen		Female	37	The Two Noble Kinsmen		
Tyrrel		Male	37	Richard III		
Second Servingman		Male	37	Coriolanus		
Virgilia		Female	36	Coriolanus		
Tybalt		Male	36	Romeo and Juliet		
Sempronius		Male	36	Timon of Athens		
Messenger		Male	36	Henry VI Part 3		
Mistress Overdone		Female	36	Measure for Measure		
Friar Peter		Male	36	Measure for Measure		
Octavia		Female	36	Antony and Cleopatra		
Maecenas		Male	36	Antony and Cleopatra		
Captain		Male	36	Macbeth		
First Servingman		Male	36	Coriolanus		
Austria		Male	36	King John		
Conrade		Male	36	Much Ado About Nothing		
Dick		Male	36	Henry VI Part 2		
Bianca		Female	35	Othello		
Antonio		Male	35	The Two Gentlemen of Verona		
Courtesan		Female	35	The Comedy of Errors		
Oxford		Male	35	Henry VI Part 3		
Hippolyta		Female	35	A Midsummer Night's Dream		
Senator		Male	35	Timon of Athens		
Sampson		Male	35	Romeo and Juliet		
Shepherd'S Servant		Male	35	The Winter's Tale		
Barnardo		Male	34	Hamlet		
Alexander		Male	34	Troilus and Cressida		
Second Merchant		Male	34	The Comedy of Errors		
Porter		Male	34	Henry VIII		
Archbishop		Male	34	Henry IV Part 1		
Porter		Male	33	Macbeth		fool
Margaret		Female	33	Henry VI Part 1		
Lucius		Male	33	Julius Caesar		
Davy		Male	33	Henry IV Part 2		
Somerset		Male	33	Henry VI Part 3		
King David		Male	33	King Edward III		
Peter		Male	33	Romeo and Juliet		
Balthasar		Male	32	Romeo and Juliet		
Ratcliffe		Male	32	Richard III		
Captain		Male	32	Twelfth Night		
Time		Male	32	The Winter's Tale		
Brakenbury		Male	32	Richard III		
Lucius'S Servant		Male	32	Timon of Athens		
Alexas		Male	32	Antony and Cleopatra		
France		Male	32	King Lear		
Bardolph		Male	32	Henry V		
Proculeius		Male	32	Antony and Cleopatra		
Philip		Male	32	King Edward III		
Epilogue		Male	32	Henry IV Part 2		
Martius		Male	32	Titus Andronicus		
Messenger		Male	32	Much Ado About Nothing		
Lord Chancellor		Male	32	Henry VIII		
Marullus		Male	31	Julius Caesar		
Titinius		Male	31	Julius Caesar		
Green		Male	31	Richard II		
First Watch		Male	31	Coriolanus		
Hume		Male	31	Henry VI Part 2		
Page		Male	31	Henry IV Part 2		
Third Frenchman		Male	31	King Edward III		
Villiers		Male	31	King Edward III		
Soothsayer		Male	31	Antony and Cleopatra		
Thidias		Male	31	Antony and Cleopatra		
Second Countryman		Male	31	The Two Noble Kinsmen		
Calchas		Male	31	Troilus and Cressida		
Prologue		Male	31	Troilus and Cressida		
First Stranger		Male	31	Timon of Athens		
Second Player		Male	31	Hamlet		
Second Fisherman		Male	31	Pericles		
Hymen		Male	31	As You Like It		
Second Citizen		Male	30	Coriolanus		
Dull		Male	30	Love's Labour's Lost		
Northumberland		Male	30	Henry VI Part 3		
Ventidius		Male	30	Antony and Cleopatra		
Gratiano		Male	30	Othello		
Seyward		Male	30	Macbeth		
Lucilius		Male	30	Julius Caesar		
Vernon		Male	29	Henry VI Part 1		
Bastard		Male	29	Henry VI Part 1		
Bardolph		Male	29	Henry IV Part 1		
Nym		Male	29	The Merry Wives of Windsor		
Prince Henry		Male	29	King John		
Soldier		Male	29	Antony and Cleopatra		
Post		Male	29	Henry VI Part 3		
Flaminius		Male	29	Timon of Athens		
Old Athenian		Male	29	Timon of Athens		
Chorus		Male	28	Romeo and Juliet		
First Gentleman		Male	28	The Winter's Tale		
Pandar		Male	28	Pericles		
Third Citizen		Male	28	Richard III		
Curtis		Male	28	The Taming of the Shrew		
Fairy		Male	28	A Midsummer Night's Dream		
Helen		Female	28	Troilus and Cressida		
Alice		Female	28	Henry V		
First Gentleman		Male	28	Measure for Measure		
Verges		Male	28	Much Ado About Nothing		
Anne		Female	28	The Merry Wives of Windsor		
Clown		Male	28	Othello		
Eglamour		Male	28	The Two Gentlemen of Verona		
Third Witch		Female	27	Macbeth		
Fitzwater		Male	27	Richard II		
Flavius		Male	27	Julius Caesar		
General		Male	27	Henry VI Part 1		
Ely		Male	27	Henry V		
Westmorland		Male	27	Henry V		
Clown		Male	27	Antony and Cleopatra		
First Friend		Male	27	The Two Noble Kinsmen		
Calphurnia		Female	27	Julius Caesar		
Fortinbras		Male	27	Hamlet		
Dion		Male	27	The Winter's Tale		
Roman		Male	27	Coriolanus		
Servant		Male	27	Timon of Athens		
Father		Male	27	Henry VI Part 3		
Thaliard		Male	26	Pericles		
Iras		Female	26	Antony and Cleopatra		
Balthasar		Male	26	The Comedy of Errors		
Northumberland		Male	26	Henry IV Part 1		
Second Witch		Female	26	Macbeth		
First Murderer		Male	25	Macbeth		
Lord Marshal		Male	25	Richard II		
Third Outlaw		Male	25	The Two Gentlemen of Verona		
Basset		Male	25	Henry VI Part 1		
Second Plebeian		Male	25	Julius Caesar		
First Senator		Male	25	Othello		
Bardolph		Male	25	The Merry Wives of Windsor		
Peter		Male	25	Henry VI Part 2		
Quintus		Male	25	Titus Andronicus		
Canidius		Male	25	Antony and Cleopatra		
Simpcox		Male	25	Henry VI Part 2		
Somerset		Male	25	Henry VI Part 2		
Third Countryman		Male	25	The Two Noble Kinsmen		
Officer		Male	25	The Winter's Tale		
Messenger		Male	25	Richard III		
Pages		Male	25	As You Like It		
Ceres		Female	24	The Tempest		
Leonine		Male	24	Pericles		
Rutland		Male	24	Henry VI Part 3		
Boy		Male	24	The Two Noble Kinsmen		
Queen Isabel		Female	24	Henry V		
Richard		Male	24	Henry VI Part 2		
Philostrate		Male	24	A Midsummer Night's Dream		
Messenger		Male	24	Henry VI Part 1		
Shepherd		Male	24	Henry VI Part 1		
Gentlewoman		Female	24	Macbeth		
Bagot		Male	23	Richard II		
First Carrier		Male	23	Henry IV Part 1		
Third Plebeian		Male	23	Julius Caesar		
Clown		Male	23	Titus Andronicus		
Cleomenes		Male	23	The Winter's Tale		
Gregory		Male	22	Romeo and Juliet		
Servant		Male	22	Romeo and Juliet		
Mamillius		Male	22	The Winter's Tale		
